1
9,3
Health,19.999954,-7.9146543
Health,5.000203,-7.9146523
Health,-10.000045,-7.914654
Ring,-58.698566,2.004997
Ring,-60.78124,2.0075946
Ring,-62.825798,2.0088072
Ring,-154.0,2.0049994
Ring,-163.04834,-38.194775
Ring,-155.06271,-38.190422
Ring,-157.05765,-38.195007
Ring,-159.05473,-38.19404
Ring,-161.05058,-38.195007
Ring,-165.04353,-38.191242
Ring,-168.90059,-38.19472
Ring,-170.8962,-38.19475
Ring,-172.89598,-38.194878
Ring,-174.89476,-38.194958
Ring,-166.9705,-37.681732
Ring,-153.06512,-38.194965
Enemy,270.0,-7.533826
Enemy,220.0,-7.533826
Enemy,170.0,-7.533826
Enemy,120.0,-7.533826
Enemy,70.0,-7.533826
Enemy,-49.898445,-37.735012
Enemy,-100.0,-36.20122
Enemy,-149.99335,-37.73501
Sonic,-66.873886,2.4394612
EggManDefeated,-900.0,-593.79755
EggMan,-550.0,-583.79755
Enemy3,150.0,-7.685001
Enemy2,10.0,-10.289543
Enemy,95.921646,-7.535003
